Ngày đăng bài,Tên,Năm sản xuất,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Trạng thái,Nhiên Liệu,Giá
12/10/2025,Chevrolet Spark LTZ 1.0 AT 2015,2015,Trong nước,Tp.HCM,Hatchback,100.000 km,Số tự động,Xe cũ,Máy xăng,185 triệu
13/10/2025,Toyota Vios 2018,2018,Trong nước,Tp.HCM,Sedan,127.000 km,Số sàn,Xe cũ,Máy xăng,235 triệu
12/10/2025,Ford Escape XLS 2.3 AT 4x2 2006,2006,Nhập khẩu,Vinh - Nghệ An,SUV,250.000 km,Số tự động,Xe cũ,Máy xăng,120 triệu
09/10/2025,Honda City 1.5 TOP CVT 2018,2018,Nhập khẩu,Tp.HCM,Sedan,133.000 km,Số tự động,Xe cũ,Máy xăng,330 triệu
08/10/2025,Ford Everest Trend 2.0 AT 4x2 2019,2019,Nhập khẩu,Tp.HCM,SUV,108.000 km,Số tự động,Xe cũ,Máy xăng,790 triệu
18/10/2025,Land Rover Range Rover HSE 5.0 AT 2009,2009,Nhập khẩu,Nam Từ Liêm - Hà Nội,SUV,130.000 km,Số tự động,Xe cũ,Máy xăng,550 triệu
18/10/2025,Toyota Avalon 2.5 Limited Hybrid 2014,2014,Nhập khẩu,Nam Từ Liêm - Hà Nội,Sedan,70.000 km,Số tự động,Xe cũ,Hybrid,1 tỉ 150 triệu
13/10/2025,Honda Civic 1.8 MT 2007,2007,Trong nước,Bà Rịa Vũng Tàu,Sedan,155.000 km,Số sàn,Xe cũ,Máy xăng,135 triệu
11/10/2025,Mercedes-Benz C300 AMG 2022,2022,Trong nước,Quận 7 - Tp.HCM,Sedan,25.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 679 triệu
13/10/2025,Mercedes-Benz E180 1.5 I4 2021,2021,Nhập khẩu,Thừa Thiên Huế,Sedan,31.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 350 triệu
14/10/2025,Kia Cerato 2017,2017,Nhập khẩu,Hà Nội,Sedan,,Số tự động,Xe cũ,Máy xăng,380 triệu
13/10/2025,Suzuki Ciaz 1.4 AT 2018,2018,Nhập khẩu,Tĩnh Gia - Thanh Hóa,Sedan,140.000 km,Số tự động,Xe cũ,Máy xăng,280 triệu
13/10/2025,Hyundai Grand i10 2017,2017,Trong nước,Tp.HCM,Sedan,100.000 km,Số sàn,Xe cũ,Máy xăng,170 triệu
12/10/2025,Ford Escape XLS 2.3 AT 4x2 2010,2010,Nhập khẩu,Hóc Môn - Tp.HCM,SUV,138.000 km,Số tự động,Xe cũ,Máy xăng,240 triệu
08/10/2025,Hyundai Kona 1.6 Turbo 2019,2019,Trong nước,Hoàng Mai - Hà Nội,SUV,54.000 km,Số tự động,Xe cũ,Máy xăng,530 triệu
13/10/2025,Mitsubishi Xpander 1.5 MT 2020,2020,Nhập khẩu,Tp.HCM,MPV,160.000 km,Số sàn,Xe cũ,Máy xăng,345 triệu
15/10/2025,Hyundai Santa Fe 2.5 Xăng Cao cấp 2024,2024,Nhập khẩu,Hoàng Mai - Hà Nội,SUV,10.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 230 triệu
14/10/2025,Ford Focus Titanium 2018,2018,Trong nước,Hà Nội,Sedan,29.300 km,Số tự động,Xe cũ,Máy xăng,415 triệu
15/10/2025,Toyota Vios 1.5E MT 2009,2009,Trong nước,Hải Phòng,Sedan,130.000 km,Số sàn,Xe cũ,Máy xăng,115 triệu
08/10/2025,Toyota Fortuner 2017,2017,Nhập khẩu,Tp.HCM,SUV,270.000 km,Số sàn,Xe cũ,Máy xăng,750 triệu
22/09/2025,Kia Morning S 1.25 AT 2017,2017,Trong nước,Đoan Hùng - Phú Thọ,Hatchback,100.000 km,Số tự động,Xe cũ,Máy xăng,275 triệu
14/10/2025,Kia Cerato 1.6 MT 2017,2017,Trong nước,Đoan Hùng - Phú Thọ,Sedan,90.000 km,Số sàn,Xe cũ,Máy xăng,325 triệu
15/10/2025,Hyundai Accent 1.4 MT 2015,2015,Nhập khẩu,Quảng Ngãi,Sedan,76.000 km,Số sàn,Xe cũ,Máy xăng,235 triệu
08/10/2025,BMW 320i Sport Line 2021,2021,,Hà Nội,,38.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 100 triệu
15/10/2025,VinFast Fadil 2019,2019,Trong nước,Hà Nội,Hatchback,,Số tự động,Xe cũ,Máy xăng,265 triệu
09/10/2025,Mazda CX-5 2.5L Signature Premium 2WD 2020,2020,Nhập khẩu,Tp.HCM,SUV,90.000 km,Số tự động,Xe cũ,Máy xăng,650 triệu
13/10/2025,Hyundai Grand i10 1.0 AT 2015,2015,Nhập khẩu,Thái Nguyên,Hatchback,130.000 km,Số tự động,Xe cũ,Máy xăng,150 triệu
13/10/2025,Toyota Fortuner 2015,2015,Nhập khẩu,Bến Cát - Bình Dương,SUV,144.122 km,Số tự động,Xe cũ,Máy dầu,450 triệu
09/10/2025,Toyota Avanza Premio 1.5 MT 2024,2024,Trong nước,Đà Nẵng,MPV,20.000 km,Số sàn,Xe cũ,Máy xăng,460 triệu
08/10/2025,Toyota Camry 3.5Q 2011,2011,Nhập khẩu,Thanh Xuân - Hà Nội,Sedan,120.000 km,Số tự động,Xe cũ,Máy xăng,370 triệu
09/10/2025,Hyundai Grand i10 2017,2017,Trong nước,Tp.HCM,Hatchback,122.000 km,Số sàn,Xe cũ,Máy xăng,205 triệu
13/10/2025,Hyundai i20 1.4 AT 2012,2012,Nhập khẩu,Hà Nội,Hatchback,80.500 km,Số tự động,Xe cũ,Máy xăng,235 triệu
14/10/2025,Suzuki XL7 2023,2023,Nhập khẩu,Tp.HCM,SUV,3.500 km,Số tự động,Xe cũ,Máy xăng,510 triệu
14/10/2025,Ford Transit 2018,2018,Trong nước,Long An,Van/Minivan,200.000 km,Số sàn,Xe cũ,Máy dầu,413 triệu
09/10/2025,Kia Sorento 2023,2023,,Hà Nội,,50.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ
10/10/2025,Mitsubishi Attrage CVT Premium 2021,2021,Nhập khẩu,Bình Thuận,Sedan,78.000 km,Số tự động,Xe cũ,Máy xăng,299 triệu
09/10/2025,Ford Transit Tiêu chuẩn 2023,2023,Trong nước,An Giang,Van/Minivan,,Số sàn,Xe cũ,Máy dầu,580 triệu
19/09/2025,BMW X6 xDrive30d 2014,2014,Nhập khẩu,Đoan Hùng - Phú Thọ,SUV,100.000 km,Số tự động,Xe cũ,Máy dầu,990 triệu
15/10/2025,MG 7 2024,2024,Trong nước,Bắc Giang - Bắc Giang,Sedan,20.000 km,Số tự động,Xe cũ,Máy xăng,670 triệu
12/10/2025,Mitsubishi Xpander AT 2021,2021,Nhập khẩu,Tp.HCM,MPV,160.000 km,Số tự động,Xe cũ,Máy xăng,410 triệu
12/10/2025,Daihatsu Terios 2003,2003,Nhập khẩu,Bến Lức - Tây Ninh,SUV,120.000 km,Số sàn,Xe cũ,Máy xăng,120 triệu
15/10/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Hà Nội,Hatchback,40.000 km,Số tự động,Xe cũ,Máy xăng,320 triệu
11/10/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2022,2022,Nhập khẩu,Tp.HCM,Bán tải,7.800 km,Số tự động,Xe cũ,Máy dầu,880 triệu
08/10/2025,Toyota Fortuner 2.7V 2017,2017,Nhập khẩu,Quận 1 - Tp.HCM,SUV,160 km,Số sàn,Xe cũ,Máy dầu,600 triệu
16/10/2025,Mitsubishi Xpander Cross 1.5 AT 2021,2021,Trong nước,Quận 2 - Tp.HCM,MPV,48.000 km,Số tự động,Xe cũ,Máy xăng,510 triệu
12/10/2025,Mitsubishi Attrage 1.2L MT 2020,2020,Nhập khẩu,Vĩnh Phúc,Sedan,800.000 km,Số sàn,Xe cũ,Máy xăng,248.9 triệu
09/10/2025,Mazda 3 1.6 AT 2017,2017,Trong nước,Bắc Ninh,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,385 triệu
23/09/2025,Mercedes-Benz E200 Exclusive 2022,2022,Nhập khẩu,Quận 7 - Tp.HCM,Sedan,28.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 699 triệu
13/10/2025,Hyundai Santa Fe 2.4L Xăng Cao cấp 2020,2020,Nhập khẩu,Đồng Nai,SUV,25.000 km,Số tự động,Xe cũ,Máy xăng,850 triệu
15/10/2025,Honda Civic 1.8 AT 2007,2007,Nhập khẩu,Tp.HCM,Sedan,200.000 km,Số tự động,Xe cũ,Máy xăng,195 triệu
15/10/2025,Hyundai Grand i10 Sedan 1.2 AT 2022,2022,Trong nước,Tp.HCM,Sedan,15.600 km,Số tự động,Xe cũ,Máy xăng,310 triệu
14/10/2025,Hyundai Elantra Sport 1.6 2019,2019,Nhập khẩu,Tp.HCM,Sedan,53.000 km,Số tự động,Xe cũ,Máy xăng,490 triệu
30/09/2025,Mercedes-Benz GLC 200 4Matic 2021,2021,Nhập khẩu,Quận 7 - Tp.HCM,SUV,53.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 299 triệu
11/10/2025,Kia Morning MT 2021,2021,Nhập khẩu,Đồng Tháp,Hatchback,60.000 km,Số sàn,Xe cũ,Máy xăng,185 triệu
10/10/2025,Toyota Vios 1.5 E CVT 2019,2019,Trong nước,Tp.HCM,Sedan,210.000 km,Số tự động,Xe cũ,Máy xăng,315 triệu
12/10/2025,Chevrolet Aveo LT 1.5 MT 2014,2014,Nhập khẩu,Bình Dương,Sedan,100.000 km,Số sàn,Xe cũ,Máy xăng,129 triệu
22/09/2025,Kia Sonet 1.5 Premium 2023,2023,Trong nước,Đoan Hùng - Phú Thọ,Crossover,60.000 km,Số tự động,Xe cũ,Máy xăng,545 triệu
14/10/2025,Ford Ranger Xls 2018,2018,Nhập khẩu,Kiến Thụy - Hải Phòng,Bán tải,85.000 km,Số tự động,Xe cũ,Máy dầu,465 triệu
07/10/2025,Chevrolet Lacetti EX 1.6 MT 2013,2013,Trong nước,Đoan Hùng - Phú Thọ,Sedan,150.000 km,Số sàn,Xe cũ,Máy xăng,165 triệu
12/10/2025,Hyundai Grand i10 1.2 AT 2011,2011,Nhập khẩu,Tp.HCM,Hatchback,120.000 km,Số tự động,Xe cũ,Máy xăng,130 triệu
09/10/2025,Mitsubishi Xpander Special Edition 2019,2019,Nhập khẩu,Hà Nội,MPV,126.000 km,Số tự động,Xe cũ,Máy xăng,425 triệu
29/09/2025,Hyundai Accent 1.4 AT 2019,2019,Trong nước,Đông Anh - Hà Nội,Sedan,80.000 km,Số tự động,Xe cũ,Máy xăng,355 triệu
08/10/2025,Toyota Corolla Cross 1.8 G 2022,2022,Nhập khẩu,Tp.HCM,SUV,56.000 km,Số tự động,Xe cũ,Máy xăng,650 triệu
12/10/2025,Toyota Innova 2.0E 2016,2016,Nhập khẩu,Tp.HCM,MPV,180.000 km,Số tự động,Xe cũ,Máy xăng,345 triệu
14/10/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2022,2022,Nhập khẩu,Hà Nội,SUV,60.000 km,Số tự động,Xe cũ,Máy dầu,975 triệu
12/10/2025,Toyota Venza 2.7 AWD AT 2009,2009,Nhập khẩu,Tp.HCM,SUV,130.000 km,Số tự động,Xe cũ,Máy xăng,389 triệu
13/10/2025,Ford Focus 1.5L EcoBoost Trend Hatchback 2019,2019,Trong nước,Biên Hòa - Đồng Nai,Hatchback,45.000 km,Số tự động,Xe cũ,Máy xăng,400 triệu
11/10/2025,Chevrolet Captiva LT 2.4 2008,2008,Trong nước,Vĩnh Long,SUV,200.000 km,Số sàn,Xe cũ,Máy xăng,140 triệu
11/10/2025,Kia Carens 1.5G Luxury 2024,2024,Nhập khẩu,Đồng Nai,MPV,93.000 km,Số tự động,Xe cũ,Máy xăng,570 triệu
18/10/2025,Mitsubishi Xpander 1.5 AT  2020,2020,Trong nước,Đông Sơn - Thanh Hóa,MPV,80.000 km,Số tự động,Xe cũ,Máy xăng,460 triệu
09/10/2025,Mercedes-Benz Sprinter 2003,2003,Trong nước,Thanh Xuân - Hà Nội,Van/Minivan,87.554 km,Số sàn,Xe cũ,Máy dầu,180 triệu
08/10/2025,Hyundai Kona 1.6 Turbo 2019,2019,Trong nước,Hà Nội,SUV,54.000 km,Số tự động,Xe cũ,Máy xăng,520 triệu
04/10/2025,Porsche Cayenne 3.6 V6 2014,2014,Nhập khẩu,Quận 7 - Tp.HCM,SUV,90.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 185 triệu
18/10/2025,Mercedes-Benz V250 AMG 2020,2020,Nhập khẩu,Quận 7 - Tp.HCM,Van/Minivan,82.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 485 triệu
16/10/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2022,2022,Trong nước,Quận 10 - Tp.HCM,Bán tải,22.000 km,Số tự động,Xe cũ,Máy dầu,818 triệu
11/10/2025,Mazda 2 1.5AT 2017,2017,Nhập khẩu,Bình Dương,Sedan,75.000 km,Số tự động,Xe cũ,Máy xăng,320 triệu
15/10/2025,Chevrolet Aveo LT 1.5 MT 2018,2018,Trong nước,Tp.HCM,Hatchback,100.000 km,Số sàn,Xe cũ,Máy xăng,155.6 triệu
15/10/2025,Toyota Innova 2.0G 2019,2019,Trong nước,Tp.HCM,MPV,82.000 km,Số tự động,Xe cũ,Máy xăng,412 triệu
16/10/2025,Nissan Sunny 2016,2016,Trong nước,Quận 10 - Tp.HCM,Sedan,90.000 km,Số tự động,Xe cũ,Máy xăng,245 triệu
11/10/2025,Hyundai Santa Fe 2.2L Dầu Cao cấp 2019,2019,Trong nước,Vĩnh Phúc,SUV,68.000 km,Số tự động,Xe cũ,Máy dầu,800 triệu
10/10/2025,Toyota Innova 2.0E 2015,2015,Nhập khẩu,Tp.HCM,MPV,100.000 km,Số sàn,Xe cũ,Máy xăng,340 triệu
09/10/2025,Ford Ranger Wildtrak 3.2 4x4 AT 2015,2015,Nhập khẩu,Quảng Trị,Bán tải,100.000 km,Số tự động,Xe cũ,Máy dầu,450 triệu
09/10/2025,Ford Transit 2010,2010,Trong nước,Tp.HCM,Van/Minivan,789.789 km,Số sàn,Xe cũ,Máy dầu,215 triệu
11/10/2025,Kia Seltos 1.4 Premium 2022,2022,Trong nước,Đông Sơn - Thanh Hóa,Crossover,35 km,Số tự động,Xe cũ,Máy xăng,620 triệu
14/10/2025,Kia Cerato 2.0 AT Premium 2019,2019,Trong nước,Tp.HCM,Sedan,147.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
16/10/2025,Mitsubishi Outlander 2.0 CVT 2019,2019,Trong nước,Quận 10 - Tp.HCM,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,515 triệu
14/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2022,2022,Trong nước,Gia Lai,Sedan,37.700 km,Số sàn,Xe cũ,Máy xăng,305 triệu
14/10/2025,Hyundai Starex 2007,2007,Nhập khẩu,Tp.HCM,Van/Minivan,300.718 km,Số sàn,Xe cũ,Máy dầu,130 triệu
14/10/2025,Nissan Navara 2019,2019,Nhập khẩu,Quận 12 - Tp.HCM,Bán tải,145.000 km,Số tự động,Xe cũ,Máy dầu,470 triệu
13/10/2025,Chevrolet Colorado 2.5L 4x4 MT LT 2015,2015,Nhập khẩu,AYun Pa - Gia Lai,Bán tải,135.000 km,Số sàn,Xe cũ,Máy xăng,240 triệu
09/10/2025,Honda Civic 1.8 AT 2007,2007,Trong nước,Hà Nội,Sedan,155.000 km,Số tự động,Xe cũ,Máy xăng,179 triệu
12/10/2025,Ford Focus 1.8L 2009,2009,Trong nước,Bà Rịa Vũng Tàu,Sedan,170.000 km,Số tự động,Xe cũ,Máy xăng,190 triệu
08/10/2025,Toyota Innova 2.0E 2019,2019,Nhập khẩu,Tp.HCM,MPV,74.000 km,Số sàn,Xe cũ,Máy xăng,405 triệu
15/10/2025,Ford Everest 2023,2023,Nhập khẩu,Hà Nội,SUV,48.000 km,Số tự động,Xe cũ,Máy dầu,1 tỉ 345 triệu
14/10/2025,Toyota Vios 1.5 E CVT 2021,2021,Nhập khẩu,Cần Thơ,Sedan,37.000 km,Số tự động,Xe cũ,Máy xăng,390 triệu
18/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2017,2017,Nhập khẩu,Đông Sơn - Thanh Hóa,Bán tải,13 km,Số tự động,Xe cũ,Máy dầu,415 triệu
18/10/2025,Hyundai Accent 1.4 AT 2018,2018,Trong nước,Đông Sơn - Thanh Hóa,Sedan,80 km,Số tự động,Xe cũ,Máy xăng,350 triệu
12/10/2025,Hyundai Accent 1.4 AT 2019,2019,Nhập khẩu,Hà Nội,Sedan,63.700 km,Số tự động,Xe cũ,Máy xăng,355 triệu
11/10/2025,Hyundai Grand i10 Hatchback 1.2 AT 2020,2020,Trong nước,Gia Lâm - Hà Nội,Hatchback,71.000 km,Số tự động,Xe cũ,Máy xăng,315 triệu
14/10/2025,Toyota Camry 2.5Q 2019,2019,Nhập khẩu,Tp.HCM,Sedan,79.000 km,Số tự động,Xe cũ,Máy xăng,799 triệu
09/10/2025,Toyota Camry 2.5G 2015,2015,Nhập khẩu,Hà Nội,Sedan,99.999 km,Số tự động,Xe cũ,Máy xăng,550 triệu
18/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2021,2021,Trong nước,Tp.HCM,Bán tải,70.000 km,Số tự động,Xe cũ,Máy dầu,545 triệu
12/10/2025,Toyota Corolla Altis 2.0V  2010,2010,Trong nước,Quy Nhơn - Bình Định,Sedan,93.000 km,Số tự động,Xe cũ,Máy xăng,295 triệu
14/10/2025,Ford Ranger Wildtrak 2.0l bi-turbo 4x4 10 AT 2020,2020,Nhập khẩu,Tp.HCM,Bán tải,135.000 km,Số tự động,Xe cũ,Máy dầu,640 triệu
10/10/2025,Kia Sorento 2WD 2.4 GAT 2016,2016,Nhập khẩu,Tp.HCM,SUV,128.000 km,Số tự động,Xe cũ,Máy xăng,420 triệu
10/10/2025,Kia Carens S 2.0 AT 2011,2011,Trong nước,Hải Châu - Đà Nẵng,SUV,125.000 km,Số tự động,Xe cũ,Máy xăng,225 triệu
08/10/2025,Toyota Corolla Altis 2.0V  2009,2009,Nhập khẩu,Đà Nẵng,Sedan,95.000 km,Số tự động,Xe cũ,Máy xăng,250 triệu
14/10/2025,Mercedes-Benz S400 3.0 V6 2016,2016,Trong nước,Hà Nội,Sedan,176.729 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 100 triệu
26/09/2025,Mercedes-Benz GLC 300 4Matic 2017,2017,Nhập khẩu,Long Biên - Hà Nội,SUV,50.000 km,Số tự động,Xe cũ,Máy xăng,899 triệu
13/10/2025,Mitsubishi Attrage 1.2L MT 2024,2024,Nhập khẩu,Châu Thành - Bến Tre,Sedan,7.000 km,Số sàn,Xe cũ,Máy xăng,315 triệu
19/09/2025,Mercedes-Benz E250 E250 2018,2018,Nhập khẩu,Long Biên - Hà Nội,Sedan,30.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 030 triệu
10/10/2025,Honda HR-V RS 2022,2022,Nhập khẩu,Nghệ An,SUV,01 km,Số tự động,Xe cũ,Máy xăng,699 triệu
09/10/2025,Toyota Vios 1.5E MT 2017,2017,Nhập khẩu,Hà Đông - Hà Nội,Sedan,120.000 km,Số sàn,Xe cũ,Máy xăng,260 triệu
26/09/2025,Land Rover Range Rover 2023,2023,Trong nước,Long Biên - Hà Nội,SUV,20.000 km,Số tự động,Xe cũ,Máy xăng,3 tỉ 650 triệu
14/10/2025,Ford Transit 9 Chỗ 2.4 Diesel 2014,2014,Trong nước,Bà Rịa Vũng Tàu,Van/Minivan,200.000 km,Số sàn,Xe cũ,Máy dầu,240 triệu
10/10/2025,Daewoo Gentra SX 2011,2011,Trong nước,Đà Nẵng,Sedan,110.000 km,Số sàn,Xe cũ,Máy xăng,105 triệu
15/10/2025,Mercedes-Benz E200 Exclusive 2022,2022,Trong nước,Tp.HCM,Sedan,26.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 650 triệu
11/10/2025,Chevrolet Cruze LT 2018,2018,Trong nước,Tp.HCM,Sedan,70.000 km,Số sàn,Xe cũ,Máy xăng,250 triệu
08/10/2025,Mercedes-Benz E200 E200 2017,2017,Trong nước,Khánh Hòa,Sedan,81.000 km,Số tự động,Xe cũ,Máy xăng,850 triệu
08/10/2025,Toyota Innova 2.0E 2019,2019,Trong nước,Tp.HCM,MPV,72.000 km,Số tự động,Xe cũ,Máy xăng,398 triệu
15/10/2025,Toyota Land Cruiser Prado 2009,2009,Nhập khẩu,Đà Nẵng,SUV,145.000 km,Số tự động,Xe cũ,Máy xăng,585 triệu
11/10/2025,Ford Territory Titanium X 2024,2024,Trong nước,Buôn Ma Thuột - Đắk Lắk,SUV,18.000 km,Số tự động,Xe cũ,Máy xăng,850 triệu
13/10/2025,Hyundai Santa Fe 2.2L Dầu Tiêu chuẩn 2022,2022,Trong nước,Hà Nội,SUV,10.000 km,Số tự động,Xe cũ,Máy dầu,999 triệu
19/09/2025,Audi A1 S-Line 2012,2012,Nhập khẩu,Long Biên - Hà Nội,Hatchback,160.000 km,Số tự động,Xe cũ,Máy xăng,410 triệu
15/10/2025,Peugeot 2008 Active 2022,2022,Nhập khẩu,Kiến An - Hải Phòng,Crossover,41.000 km,Số tự động,Xe cũ,Máy xăng,595 triệu
13/10/2025,Kia Morning GT-LINE 2022,2022,Trong nước,Kiến An - Hải Phòng,Hatchback,62.000 km,Số tự động,Xe cũ,Máy xăng,355 triệu
12/10/2025,Peugeot 3008 Allure 2025,2025,Nhập khẩu,Kiến An - Hải Phòng,SUV,7.000 km,Số tự động,Xe cũ,Máy xăng,835 triệu
12/10/2025,Toyota Corolla Cross 1.8 V  2022,2022,Trong nước,Kiến An - Hải Phòng,Crossover,50.000 km,Số tự động,Xe cũ,Máy xăng,695 triệu
12/10/2025,Ford Territory Titanium X 2023,2023,Nhập khẩu,Kiến An - Hải Phòng,SUV,8.000 km,Số tự động,Xe cũ,Máy xăng,795 triệu
12/10/2025,Ford Ranger XLS 2.0L 4x2 AT 2024,2024,Trong nước,Kiến An - Hải Phòng,Bán tải,17.000 km,Số tự động,Xe cũ,Máy dầu,645 triệu
12/10/2025,Mercedes-Benz GLC 300 4Matic 2020,2020,Nhập khẩu,Kiến An - Hải Phòng,SUV,70.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 390 triệu
25/09/2025,BMW X4 xDrive20i Msport 2020,2020,Nhập khẩu,Kiến An - Hải Phòng,SUV,40.000 km,Số tự động,Xe cũ,Máy xăng,1 tỉ 750 triệu
22/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,2021,Trong nước,Kiến An - Hải Phòng,Sedan,60.000 km,Số tự động,Xe cũ,Máy xăng,525 triệu
17/10/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,2021,Trong nước,Kiến An - Hải Phòng,Sedan,40.000 km,Số tự động,Xe cũ,Máy xăng,535 triệu
14/10/2025,Hyundai Grand i10 2023,2023,Trong nước,Kiến An - Hải Phòng,Hatchback,30.000 km,Số tự động,Xe cũ,Máy xăng,385 triệu
03/10/2025,Mitsubishi Xpander Cross 1.5 AT 2023,2023,Trong nước,Kiến An - Hải Phòng,SUV,30.000 km,Số tự động,Xe cũ,Máy xăng,615 triệu
03/10/2025,Toyota Camry 2.0Q 2022,2022,Trong nước,Kiến An - Hải Phòng,Sedan,40.000 km,Số tự động,Xe cũ,Máy xăng,985 triệu
17/10/2025,Mitsubishi Outlander 2.0 CVT 2020,2020,Trong nước,Kiến An - Hải Phòng,SUV,71.000 km,Số tự động,Xe cũ,Máy xăng,595 triệu
06/10/2025,Toyota Yaris 1.5G 2020,2020,Nhập khẩu,Kiến An - Hải Phòng,Hatchback,80.000 km,Số tự động,Xe cũ,Máy xăng,485 triệu
03/10/2025,Lexus NX 200T 2015,2015,Nhập khẩu,Kiến An - Hải Phòng,SUV,98.000 km,Số tự động,Xe cũ,Máy xăng,990 triệu
10/10/2025,Kia Cerato 1.6 AT Deluxe 2020,2020,Trong nước,Kiến An - Hải Phòng,Sedan,65.000 km,Số tự động,Xe cũ,Máy xăng,445 triệu
27/09/2025,Mazda CX-5 2.0 Deluxe 2023,2023,Trong nước,Kiến An - Hải Phòng,SUV,13.000 km,Số tự động,Xe cũ,Máy xăng,715 triệu
14/10/2025,Kia Morning Si 1.25 MT 2016,2016,Trong nước,Đắk Lắk,Hatchback,80.000 km,Số sàn,Xe cũ,Máy xăng,180 triệu
13/10/2025,Peugeot 3008 2014,2014,Nhập khẩu,Đà Nẵng,SUV,95.000 km,Số tự động,Xe cũ,Máy xăng,330 triệu
23/09/2025,Mazda CX-5 2015,2015,Nhập khẩu,Long Biên - Hà Nội,SUV,68.000 km,Số tự động,Xe cũ,Máy xăng,438 triệu
12/10/2025,Ford Escape XLT 2.3 AT 4x4 2013,2013,Trong nước,Tp.HCM,SUV,115.000 km,Số tự động,Xe cũ,Máy xăng,280 triệu
14/10/2025,Mitsubishi Xpander 2021,2021,Nhập khẩu,Long An,MPV,90.000 km,Số tự động,Xe cũ,Máy xăng,470 triệu
10/10/2025,Kia Seltos 1.4 Deluxe 2022,2022,Nhập khẩu,Tp.HCM,SUV,21.000 km,Số tự động,Xe cũ,Máy xăng,560 triệu
10/10/2025,Mazda 6 2.0 AT 2020,2020,Trong nước,Hà Nội,Sedan,110.000 km,Số tự động,Xe cũ,Máy xăng,580 triệu
08/10/2025,Toyota Vios 1.5E MT 2009,2009,Trong nước,Tam Kỳ - Quảng Nam,Sedan,100.000 km,Số sàn,Xe cũ,Máy xăng,125 triệu
14/10/2025,Ford Everest 2.5 MT 2013,2013,Nhập khẩu,Hà Nội,SUV,160.000 km,Số sàn,Xe cũ,Máy xăng,315 triệu
08/10/2025,BMW 320i 2015,2015,Nhập khẩu,Tp.HCM,Sedan,90.000 km,Số tự động,Xe cũ,Máy xăng,530 triệu
12/10/2025,Mazda 3 1.5 Hatchback 2019,2019,Trong nước,Hải Phòng,Hatchback,20.000 km,Số tự động,Xe cũ,Máy xăng,450 triệu
11/10/2025,Chevrolet Cruze LTZ 1.8 2016,2016,Nhập khẩu,Đà Nẵng,Sedan,140.000 km,Số tự động,Xe cũ,Máy xăng,285 triệu
09/10/2025,Chevrolet Cruze LTZ 2018,2018,Nhập khẩu,Đà Nẵng,Sedan,68.000 km,Số tự động,Xe cũ,Máy xăng,295 triệu
10/10/2025,Ford Everest Titanium 2.2L 4x2 AT 2017,2017,Nhập khẩu,Tp.HCM,SUV,107 km,Số tự động,Xe cũ,Máy dầu,690 triệu
12/10/2025,Toyota Yaris Cross Xăng 2024,2024,Nhập khẩu,Biên Hòa - Đồng Nai,Crossover,25.500 km,Số tự động,Xe cũ,Máy xăng,650 triệu
15/10/2025,Toyota Vios 1.5E MT 2018,2018,Trong nước,Hưng Yên,Sedan,80.566 km,Số sàn,Xe cũ,Máy xăng,256 triệu
12/10/2025,Mazda CX-9 2015,2015,,Hải Phòng,SUV,,Số tự động,Xe cũ,Máy xăng,450 triệu
08/10/2025,Toyota Corolla Cross 1.8 V  2024,2024,Nhập khẩu,Tp.HCM,Crossover,13.000 km,Số tự động,Xe cũ,Máy xăng,750 triệu
13/10/2025,Ford Ranger Wildtrak 3.2 4x4 AT 2016,2016,Nhập khẩu,Bình Dương,Bán tải,140.123 km,Số tự động,Xe cũ,Máy dầu,485 triệu
09/10/2025,Hyundai Tucson 2019,2019,,Hà Nội,SUV,,Số tự động,Xe cũ,Máy xăng,655 triệu
